loc,lat,lon,trans,school,business,fundamental
文化佳园(公寓住宅),31.294969,121.53171,3,7,2,2
控江四村,31.290912,121.531555,3,5,1,2
市光一村,31.322039,121.542728,2,2,2,3
鞍山八村,31.285928,121.517715,4,9,2,3
本溪路165弄小区,31.281318,121.521507,4,6,2,2
三湘未来海岸(商住楼),31.322079,121.511594,1,1,1,0
复旦第八宿舍,31.322079,121.511594,1,1,1,0
新江湾中凯城市之光,31.325427,121.509025,1,1,1,0
大运盛城,31.290449,121.526923,3,4,2,2
松花一村,31.301239,121.547632,1,2,1,1
控江路129弄小区,31.292973,121.552927,2,2,0,1
武川路99弄小区,31.309205,121.501338,1,2,0,1
中王小区,31.275416,121.536538,3,5,2,2
中原路99弄小区,31.319511,121.537372,2,3,1,3
民治路12弄小区,30.909772,121.836102,0,0,0,0
双阳一村,31.283239,121.539378,4,4,1,2
控江路645弄小区,31.289797,121.546775,3,5,1,2
文化花园香榭丽苑,31.308804,121.499747,1,2,0,1
本溪路149弄小区,31.308804,121.499747,1,2,0,1
鞍山四村第二小区,31.281615,121.522217,4,6,2,2
铁岭路110弄住宅小区,31.286879,121.518939,4,10,2,3
书香公寓,31.283982,121.508352,3,7,2,2
黄兴路1039弄小区,31.286116,121.530003,2,5,1,2
鞍山六村,31.280638,121.511061,3,5,2,3
阜新路284弄小区,31.286086,121.515815,4,9,2,3
鞍山三村住宅小区,31.283942,121.519429,5,7,2,3
打虎山路6弄小区,31.274846,121.518123,4,4,2,2
延吉一村,31.290745,121.544365,2,5,1,2
姚家桥小区,31.273824,121.52183,3,4,2,2
三联小区(杨浦),31.279077,121.544059,3,2,1,1
辽源四村,31.27802,121.517172,3,6,2,2
锦杨苑,31.268477,121.535064,1,2,0,1
杨浦松花小区,31.295738,121.506721,1,7,0,2
延吉五村,31.295738,121.506721,1,7,0,2
复旦第三宿舍,31.298507,121.513014,3,7,1,2
国权路333弄小区,31.295879,121.513986,2,8,1,2
天翔花苑,31.303065,121.518027,3,8,1,2
安图新村,31.296527,121.54762,0,4,1,2
复旦第二宿舍,31.298238,121.513625,3,7,1,2
全家福家园,31.26494,121.530605,3,2,0,1
新凤城银座,31.283845,121.52976,4,6,2,2
远东一村,31.304381,121.54555,1,3,1,1
延吉七村,31.296052,121.539408,1,6,1,2
中环和润苑,31.288589,121.561935,2,0,0,0
江浦汽车公寓,31.279513,121.526794,4,7,2,1
国和一村,31.322403,121.535613,2,3,2,3
韵都城,31.295116,121.552172,1,2,0,2
现代星洲城(三期),31.273826,121.528549,5,4,2,1
长海路500弄小区,31.315055,121.527728,4,5,2,3
宁武小区(西区),31.277905,121.546631,3,1,1,1
宁国路393号公寓,31.272743,121.541324,3,3,1,0
长阳新苑,31.270998,121.53625,1,2,0,1
霍兰小区,31.269668,121.534391,1,3,0,1
金鹏花园(东区),31.273347,121.533109,3,5,1,1
中通大厦,31.275604,121.539026,4,4,1,2
控江二村107弄小区,31.28905,121.532797,2,5,2,2
绿景家苑,31.30617,121.539076,1,3,1,3
安波路985弄小区,31.306299,121.533032,3,5,2,3
控江西三村小区,31.291063,121.538019,1,6,1,2
松花江路95弄小区,31.305139,121.549851,1,2,1,1
兴平昌苑,31.299384,121.521299,3,9,2,1
荣丰花园,31.27204,121.537331,2,3,1,1
城市名园,31.337049,121.545567,1,1,1,0
城市方园,31.340525,121.542674,1,1,1,0
华荣公寓,31.267324,121.545865,1,1,1,0
幸福公寓,31.278779,121.541701,3,3,1,1
杨家宅小区,31.273594,121.551121,2,0,1,0
荣鑫公寓,31.273397,121.553633,2,0,1,0
富天苑,31.280853,121.539371,4,5,1,2
幸福村小区,31.28127,121.541227,3,4,1,1
凤城四村小区,31.289302,121.527754,3,4,2,3
同济国康公寓,31.292187,121.510154,2,9,0,1
友谊新村(杨浦),31.283753,121.54311,3,4,1,1
政通新苑,31.3109,121.52522,4,5,1,2
四平路2065弄小区,31.299144,121.518198,3,7,1,2
平凉路174弄小区,31.25889,121.524639,2,2,0,0
飞帆大楼,31.269773,121.543391,2,2,1,0
凯兴苑,31.276331,121.536691,4,5,2,2
国顺路395弄小区,31.297406,121.517335,3,7,1,2
莱茵半岛,31.314025,121.543267,1,4,1,4
文轩佳苑,31.309581,121.524441,4,4,1,2
军工路600弄小区,31.298333,121.556914,1,2,0,0
双辽支路70弄小区,31.276455,121.523517,5,6,2,2
紫华欣苑,31.285749,121.554923,2,2,1,1
中能八号公馆,31.308047,121.537926,1,4,2,4
阳光城滨江悦,31.308047,121.537926,1,4,2,4
政民路230弄小区,31.261816,121.540168,1,1,0,0
汇文苑,31.307525,121.50696,3,6,1,1
敦化路2弄小区,31.293405,121.548513,2,4,1,2
台益公寓,31.296081,121.537241,1,7,1,2
靖宇南路5弄小区,31.285551,121.534277,3,5,1,2
延吉东路555弄小区,31.293975,121.547128,2,5,1,2
凤城路91弄小区,31.28469,121.529325,4,5,2,2
仁恒怡庭,31.33352,121.520956,0,2,1,1
民星路600弄小区,31.318649,121.538714,2,4,1,3
控江二村,31.285566,121.532541,3,6,1,2
茶园坊,31.295202,121.525642,3,8,2,1
鞍山一村,31.281807,121.520066,4,7,2,3
建发珑庭(二期),31.323285,121.511775,1,1,1,0
新江湾佳苑,31.315625,121.510335,2,2,0,1
佳木斯路110弄小区,31.305787,121.547462,1,3,1,1
华元豪庭,31.282232,121.52088,5,7,2,3
黑山小区,31.313275,121.529904,3,5,2,3
复旦大学国福路教师公寓,31.301241,121.514316,3,7,1,2
纺平大楼小区,31.285389,121.563912,2,0,0,0
时运苑,31.294557,121.561959,1,0,0,0
珠江香樟南园,31.276753,121.550539,3,1,1,1
兰花村,31.310044,121.536976,1,4,3,4
保利维拉家园,31.32009,121.503905,1,2,0,1
双阳路291弄小区,31.283092,121.542463,3,4,1,1
民星二村,31.319143,121.542835,2,2,1,3
海鸿公寓,31.292864,121.522715,4,7,3,1
大居苑,31.282944,121.535126,3,5,1,2
控江路59弄小区,31.294921,121.556516,1,2,0,0
松花公寓,31.300812,121.545267,1,4,1,1
邯郸路58弄小区,31.300811,121.498741,2,5,0,1
林绿家园,31.296067,121.518979,2,7,1,1
平盛苑,31.268814,121.530147,4,3,1,1
明月坊,31.275158,121.545295,3,2,1,1
和瑞雅苑,31.272183,121.543501,2,3,1,0
东岸新里,31.307232,121.547437,1,2,1,3
明园公寓,31.268258,121.525897,4,3,1,1
双阳二村,31.28408,121.539754,4,4,1,1
开鲁一村,31.328636,121.537125,1,3,2,2
控江路1455弄小区,31.282001,121.530426,4,7,2,2
绿地海珀璞晖,31.3301,121.512097,1,0,1,1
飞虹路740-742号小区,31.272724,121.519962,4,4,2,2
东方名城,31.324393,121.528215,2,3,3,3
民富家园(东区),31.315811,121.522366,3,5,1,2
保辉香景园,31.332602,121.511563,0,0,1,1
鞍山二村,31.278647,121.514943,3,6,2,2
华润置地橡树湾(公寓住宅),31.937621,120.954104,0,0,0,0
文通雅苑,31.268926,121.521526,4,4,2,2
控江七村小区,31.289142,121.53859,2,6,1,2
建新小区,31.306499,121.517869,4,8,1,1
黄兴路118号小区,31.306499,121.517869,4,8,1,1
恒联新天地花园,31.287433,121.522124,4,8,2,2
莱克大厦,31.279052,121.510351,3,5,2,2
铁岭路90弄小区,31.285908,121.51964,5,9,2,3
凯城景庭园,31.314165,121.522802,3,6,1,2
国和路600弄小区,31.314165,121.522802,3,6,1,2
同济欣苑(北区),31.314382,121.501508,2,2,0,1
民富家园(西区),31.315771,121.520915,3,6,1,3
世和园,31.323169,121.530713,1,3,3,3
中环和乐苑,31.290352,121.561923,2,0,0,0
盛世豪园(一期),31.323659,121.525426,2,3,2,2
鹏程苑,31.321877,121.539555,2,2,2,3
控江路121弄小区,31.292973,121.552927,2,2,0,1
工农四村星源佳苑,31.328695,121.545492,1,1,2,2
杨浦大厦,31.299493,121.524596,3,9,2,2
广远新村,31.29398,121.554803,2,2,0,1
国际滨江城,31.280109,121.561769,2,0,1,0
平凉小区,31.284562,121.564189,2,0,1,0
控江路650弄小区,31.292587,121.546987,3,5,1,2
怡福苑,31.297645,121.525179,3,8,2,2
凤城花园,31.285448,121.527289,4,6,2,2
兰花教师公寓(北区),31.310607,121.541784,1,5,2,4
东方蓝海国际广场,31.296418,121.527454,3,8,2,2
锦丽斯公寓,31.271966,121.522303,3,4,2,2
皇朝新城,31.298398,121.524688,3,9,2,2
宝地东花园,31.268281,121.519596,4,4,2,2
圣骊名苑,31.26667,121.536521,1,2,0,0
梦景园,30.073091,120.487779,0,0,0,0
尚浦名邸,31.322504,121.518709,2,2,1,0
硕和国际,31.307239,121.533855,3,4,2,3
舒兰小区,31.288212,121.547115,3,5,1,1
恒阳花苑,31.275097,121.515208,4,4,2,2
金鹏花园(西区),31.272178,121.532578,3,3,1,1
眉州路515弄小区,31.269526,121.539168,1,2,1,0
安图路2弄小区,31.29544,121.550955,1,2,1,2
阳明苑,31.29544,121.550955,1,2,1,2
江湾翰林,31.311167,121.515318,3,4,1,1
翡丽云邸,31.265834,121.524466,2,3,0,1
延吉四村,31.299098,121.54514,1,4,1,2
新江湾城时代花园,31.336353,121.531677,1,2,2,1
九龙仓玺园(公寓住宅),31.332867,121.514792,0,1,1,1
文化名园,31.332867,121.514792,0,1,1,1
本溪路136弄小区,31.282821,121.523818,3,5,2,1
华升新苑,31.282821,121.523818,3,5,2,1
星云苑,31.316292,121.548862,1,0,1,4
馨运公寓,31.27161,121.539293,1,2,1,1
圣骊河滨苑(北区),31.264087,121.537798,2,2,0,0
新江湾尚景园,31.341612,121.506221,0,0,0,1
现代星洲城(一期),31.27366,121.526425,5,4,2,1
金凤大楼,31.27366,121.526425,5,4,2,1
复旦软件园智慧新天地,31.271966,121.547027,2,1,1,0
黄兴绿园(西区),31.306116,121.544271,1,3,1,3
伊顿公寓,31.306116,121.544271,1,3,1,3
中建大公馆,31.336437,121.521439,0,2,1,1
世嘉园(一期),31.318428,121.510788,2,1,0,1
锦西路30弄小区,31.282962,121.520029,5,6,2,3
打虎山路84弄小区,31.278663,121.515044,3,6,2,2
合生江湾国际公寓,31.343776,121.521605,0,2,0,1
百兴花园,31.265871,121.539628,1,2,0,0
文化名邸,31.322278,121.503886,1,2,0,0
世界路65弄小区,31.324488,121.531906,1,2,3,3
八埭头公寓,31.258629,121.528771,2,2,0,0
三门路358弄小区,31.315378,121.498532,1,2,0,1
嘉誉湾,31.338157,121.515861,0,2,1,1
新江湾城首府,31.338157,121.515861,0,2,1,1
政立路580弄小区,31.311784,121.513192,3,4,1,1
江浦路989弄小区,31.271258,121.528909,4,3,2,1
建发公园首府,31.289202,121.545443,3,5,1,1
殷行路305弄小区,31.334225,121.546551,1,0,1,0
世界路91弄小区,31.324945,121.532273,1,3,3,3
控江路529号小区,31.290559,121.546701,3,5,1,2
沧州路180弄小区,31.291862,121.533875,1,6,1,2
佳龙花园,31.303064,121.543105,1,4,1,1
国伟新苑,31.338138,121.536924,1,2,1,0
隆昌路700弄小区,31.288871,121.544514,3,5,1,1
椰泰公寓,31.314218,121.524647,4,5,1,2
市光四村,31.325749,121.541899,1,2,2,3
延吉中路320弄小区,31.325749,121.541899,1,2,2,3
内江一村,31.29065,121.54822,3,5,1,2
控江路1039弄小区,31.285488,121.53719,4,5,0,2
长海三村,31.315877,121.527885,4,5,2,3
仁和苑,31.308786,121.518779,3,6,1,1
控江绿苑,31.291147,121.552585,2,3,0,1
黄兴路629号小区,31.239304,121.457371,0,0,0,0
海鹏公寓,31.239304,121.457371,0,0,0,0
隆昌路696弄小区,31.28811,121.54474,3,5,1,1
锦兰苑,31.307678,121.53312,3,4,2,3
政立苑,31.31493,121.50785,2,3,0,1
敦化路6弄小区,31.294004,121.54769,2,4,1,2
长恒苑,31.314695,121.531312,2,4,2,3
延吉六村,31.296134,121.542917,1,5,1,2
长海一村,31.317398,121.537013,2,4,1,3
翔殷路491弄小区,31.311874,121.543888,1,4,1,4
翔殷三村,31.3157,121.546326,1,2,1,3
宝钢又一村,31.3157,121.546326,1,2,1,3
财大小区,31.311191,121.513242,3,5,1,1
大连西路40弄小区,31.311191,121.513242,3,5,1,1
复旦第七宿舍,31.299282,121.511303,3,7,1,2
世晶花苑,31.327974,121.528019,1,3,3,1
国年路99弄小区,31.297396,121.514982,3,7,1,2
沧州路160弄小区,31.290826,121.534239,2,6,1,2
中原一村(杨浦),31.338629,121.543833,1,1,1,0
鞍山五村,31.282058,121.511688,3,6,2,3
爱国二村,31.284735,121.560094,2,0,1,0
兰花新村,31.309076,121.534811,3,4,3,4
许昌路1265弄小区,31.273623,121.522476,3,4,2,2
延吉二村,31.292347,121.54351,2,5,1,2
长海二村,31.318542,121.535772,2,4,1,3
心仪雅苑,31.284908,121.545995,4,5,1,1
体院小区,31.318981,121.528335,4,4,1,3
海州路128号小区,31.105961,121.379644,0,0,0,0
永吉路122弄小区,31.291351,121.539361,1,6,1,2
殷行路280弄小区,31.335363,121.546307,1,0,1,0
上理小区,31.29679,121.557712,1,2,0,0
控江路64-500号小区,31.289797,121.546775,3,5,1,2
延吉东路125弄小区,31.295849,121.549041,1,3,1,2
佳木斯路154弄小区,31.305787,121.547462,1,3,1,1
敦化路3弄小区,31.293405,121.548513,2,4,1,2
包头路教师公寓,31.331644,121.545749,1,0,2,2
杨家浜小区,31.28994,121.54019,2,5,1,2
建发璟墅,31.28994,121.54019,2,5,1,2
旭辉江湾墅(公寓住宅),31.320322,121.505481,1,2,0,1
新江湾城雍景苑,31.338899,121.532283,1,2,1,1
闸殷小区,31.336021,121.53463,1,2,1,1
银亿领墅(别墅),31.322166,121.505961,1,2,1,0
华润置地橡树湾(别墅),31.937621,120.954104,0,0,0,0
控江路764弄小区,31.290075,121.544239,2,5,1,2
尊堡园(别墅),31.317816,121.506609,1,2,0,1
信达泰禾上海院子(别墅),31.327413,121.517174,1,0,1,1
祥生御江湾(别墅),31.337604,121.504029,0,0,0,0
纺三小区,31.259922,121.531209,2,2,0,0
东茂家苑,31.309763,121.539515,1,5,2,4
文化佳园(别墅),31.294072,121.531979,3,7,1,2
银亿领墅(公寓住宅),31.322166,121.505961,1,2,1,0
长白一村,31.295025,121.549158,1,4,1,2
鞍山路215弄小区,31.284374,121.515782,4,8,2,3
泰宝华庭(别墅),31.336393,121.502901,0,1,0,0
旭辉江湾墅(别墅),31.320322,121.505481,1,2,0,1
市光路143弄小区,31.320118,121.522686,2,3,1,2
瀚杨苑,31.320118,121.522686,2,3,1,2
市光二村,31.322684,121.548444,1,1,1,3
华升公寓,31.280499,121.526316,4,7,2,1
江南华府,31.290912,121.531555,3,5,1,2
国定路288弄1-26号小区,31.301259,121.517714,3,8,1,2
杨树浦路1629弄小区,31.262281,121.543654,1,1,0,0
